"Cycle";"Block";"Population";"Treatment";"Plates_nbr";"Replicate";"Env";"Pop_type";"Sex_struct";"Day";"Total_assay";"Total_assay_2";"Tot_per_worm";"Fec_today";"Total_fec";"Herm_alive_today";"Herm_dead";"Herm_killed";"Male_alive_today";"Male_dead";"Male_killed";"Herm_alive_yesterday";"Male_alive_yesterday";"Fec_yesterday";"Herm_mortality";"Male_mortality";"Trt_3";"Trt_6";"Rep2"
4;"1";"A00_R1";"H";3;"A";"Ancestral";"Ancestral";"Androdioecious";"3";1326;1326;NA;164;820;5;0;0;0;0;0;5;0;164;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"H";3;"A";"Ancestral";"Ancestral";"Androdioecious";"4";1326;1326;NA;126,5;506;4;0;0;0;0;0;5;0;101,2;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"H";3;"A";"Ancestral";"Ancestral";"Androdioecious";"5";1326;1326;NA;NA;NA;4;0;0;0;0;0;4;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 A"
4;"1";"A00_R1";"H";3;"B";"Ancestral";"Ancestral";"Androdioecious";"3";1538;1538;NA;206,8;1034;5;0;0;0;0;0;5;0;206,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"H";3;"B";"Ancestral";"Ancestral";"Androdioecious";"4";1538;1538;NA;100,8;504;5;0;0;0;0;0;5;0;100,8;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"H";3;"B";"Ancestral";"Ancestral";"Androdioecious";"5";1538;1538;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 B"
4;"1";"A00_R1";"H";3;"C";"Ancestral";"Ancestral";"Androdioecious";"3";1644;1644;NA;247,2;1236;5;0;0;0;0;0;5;0;247,2;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"H";3;"C";"Ancestral";"Ancestral";"Androdioecious";"4";1644;1644;NA;81,6;408;5;0;0;0;0;0;5;0;81,6;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"H";3;"C";"Ancestral";"Ancestral";"Androdioecious";"5";1644;1644;NA;NA;NA;5;0;0;0;0;0;5;0;NA;0;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 C"
4;"1";"A00_R1";"H";3;"D";"Ancestral";"Ancestral";"Androdioecious";"3";1396;1396;NA;175,6;878;5;0;0;0;0;0;5;0;175,6;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"H";3;"D";"Ancestral";"Ancestral";"Androdioecious";"4";1396;1396;NA;129,5;518;4;0;0;0;0;0;5;0;103,6;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"H";3;"D";"Ancestral";"Ancestral";"Androdioecious";"5";1396;1396;NA;NA;NA;4;0;0;0;0;0;4;0;NA;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 D"
4;"1";"A00_R1";"H";3;"E";"Ancestral";"Ancestral";"Androdioecious";"3";1368;1368;NA;172,4;862;5;0;0;0;0;0;5;0;172,4;20;NA;"H_Androdioecious";"H_Androdioecious_Ancestral";"A00_R1 1 E"
